time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00198 0005 00397 -3771.69370 0.10000 1.00000 0 0 0
    0.00 00199 0005 00400 -3790.53166 0.10000 1.00000 0 0 0
    0.00 00200 0005 00391 -3826.86146 0.10000 1.00000 0 0 0
    0.00 00201 0005 00390 -3838.61395 0.10000 1.00000 0 0 0
    0.00 00202 0005 00389 -3819.55804 0.10000 1.00000 0 0 0
    0.00 00203 0005 00387 -3811.63016 0.10000 1.00000 0 0 0
    0.00 00204 0005 00403 -3765.12469 0.10000 1.00000 0 0 0
    0.00 00205 0005 00390 -3780.21689 0.10000 1.00000 0 0 0
    0.00 00206 0005 00390 -3815.60451 0.10000 1.00000 0 0 0
    0.00 00207 0005 00377 -3730.08606 0.10000 1.00000 0 0 0
    0.00 00208 0005 00374 -3715.97934 0.10000 1.00000 0 0 0
    0.00 00209 0005 00365 -3756.90144 0.10000 1.00000 0 0 0
    0.00 00210 0005 00367 -3709.39548 0.10000 1.00000 0 0 0
    0.00 00211 0005 00386 -3758.07412 0.10000 1.00000 0 0 0
    0.00 00212 0005 00379 -3778.08796 0.10000 1.00000 0 0 0
    0.00 00213 0005 00368 -3789.87855 0.10000 1.00000 0 0 0
    0.00 00214 0005 00374 -3771.90144 0.10000 1.00000 0 0 0
    0.00 00215 0005 00390 -3769.43836 0.10000 1.00000 0 0 0
    0.00 00216 0005 00399 -3780.37528 0.10000 1.00000 0 0 0
    0.00 00217 0005 00400 -3807.74563 0.10000 1.00000 0 0 0
    0.00 00218 0005 00382 -3794.00249 0.10000 1.00000 0 0 0
    0.00 00219 0005 00401 -3850.83996 0.10000 1.00000 0 0 0
    0.00 00220 0005 00370 -3753.88015 0.10000 1.00000 0 0 0
    0.00 00221 0005 00385 -3803.16041 0.10000 1.00000 0 0 0
    0.00 00222 0005 00386 -3715.66416 0.10000 1.00000 0 0 0
    0.00 00223 0005 00385 -3691.38490 0.10000 1.00000 0 0 0
    0.00 00224 0005 00392 -3731.64951 0.10000 1.00000 0 0 0
    0.00 00225 0005 00395 -3733.08465 0.10000 1.00000 0 0 0
    0.00 00226 0005 00376 -3752.47443 0.10000 1.00000 0 0 0
    0.00 00227 0005 00368 -3696.37019 0.10000 1.00000 0 0 0
    0.00 00228 0005 00383 -3767.59716 0.10000 1.00000 0 0 0
    0.00 00229 0005 00395 -3772.56924 0.10000 1.00000 0 0 0
    0.00 00230 0005 00396 -3771.69362 0.10000 1.00000 0 0 0
    0.00 00231 0005 00398 -3804.43729 0.10000 1.00000 0 0 0
